Role,Player name,Rank,Win rate(%),Wins / losses
Mid,IG Wh1t3zZ,Gold I - 61 LP,51.1%,115 / 110
Support,Hisher,Gold I - 96 LP,58.8%,107 / 75
Top,HAHAHAHAHAHAXD,Gold I - 76 LP,59.7%,123 / 83
Mid,Galio,Gold I - 56 LP,57.2%,79 / 59
Jungle,GG Bekhali,Gold I - 87 LP,54.7%,98 / 81
ADC,F,Platinum IV - 1 LP,54.1%,124 / 105
Jungle,Exemplar,Gold I - 97 LP,54.9%,90 / 74
Jungle,EnzoLeCoco,Platinum IV - 2 LP,54.4%,118 / 99
Jungle,EG Voutocu,Gold I - 82 LP,52.2%,106 / 97
Jungle,EDG Clearlove7,Platinum IV - 23 LP,49.3%,106 / 109
Top,Dumbass,Platinum III - 37 LP,65.1%,153 / 82
Top,DoinB,Platinum IV - 56 LP,65.4%,125 / 66
Top,Darkness,Gold I - 75 LP,52.3%,91 / 83
Top,Copyright,Gold I - 94 LP,56.8%,109 / 83
Mid,Caps,Platinum III - 13 LP,58.7%,125 / 88
Mid,BottleCaps,Platinum III - 75 LP,67.2%,123 / 60
Mid,Bjergsen,Gold I - 92 LP,50%,80 / 80
ADC,Bait,Gold I - 45 LP,52%,115 / 106
Mid,Arteros,Gold I - 77 LP,53.8%,106 / 91
Mid,Arano,Platinum IV - 33 LP,55.9%,124 / 98
Support,Aqua,Gold I - 67 LP,54.8%,103 / 85
Support,AnosVold,Gold I - 46 LP,55.6%,85 / 68
Mid,Anomaly ,Gold I - 90 LP,53.9%,103 / 88
Top,Amouranth,Platinum IV - 61 LP,60.7%,122 / 79
Mid,AlfredSmith,Platinum IV - 93 LP,61.9%,130 / 80
Top,Agent Boris,Gold I - 74 LP,54%,108 / 92
ADC,A bootiful perso,Gold I - 42 LP,53.8%,98 / 84
Jungle,420,Gold I - 39 LP,51.6%,80 / 75
Jungle,110110010011,Gold I - 54 LP,56.3%,76 / 59
