Role,Player name,Rank,Win rate(%),Wins / losses
Mid,creative mind,Platinum IV - 63 LP,55.8,120 / 95
Top,TDA Brokenrelic,Platinum III - 18 LP,55.6,110 / 88
Support,Redman,Platinum IV - 42 LP,55.5,136 / 109
Top,Raleigh Obelisk,Platinum III - 24 LP,55.3,115 / 93
Top,Smug Egirl Owo,Platinum IV - 45 LP,55.3,115 / 93
Mid,Arano,Platinum IV - 6 LP,55.3,126 / 102
ADC,argalon7997,Gold I - 50 LP,55.3,114 / 92
Mid,Slimsnoker,Gold I - 71 LP,55.2,69 / 56
Jungle,Exemplar,Platinum IV - 6 LP,55.0,93 / 76
ADC,F,Platinum IV - 41 LP,54.9,129 / 106
Top,Randomsmeker1234,Platinum IV - 44 LP,54.7,116 / 96
Jungle,EnzoLeCoco,Platinum IV - 28 LP,54.7,123 / 102
Jungle,GG Bekhali,Gold I - 96 LP,54.6,100 / 83
Jungle,funnel is dead,Gold I - 69 LP,54.5,104 / 87
Mid,WoO0oW,Platinum IV - 51 LP,54.4,112 / 94
Support,Aqua,Gold I - 72 LP,54.4,106 / 89
ADC,RNG Uzi,Gold I - 76 LP,54.3,107 / 90
ADC,T1 T1,Gold I - 61 LP,54.1,119 / 101
ADC,A bootiful perso,Gold I - 60 LP,54.1,100 / 85
Mid,Anomaly ,Gold I - 90 LP,53.9,103 / 88
ADC,Japan,Gold I - 56 LP,53.9,90 / 77
ADC,Kogglemoggle,Platinum IV - 54 LP,53.8,121 / 104
Top,shuiwen,Gold I - 54 LP,53.8,84 / 72
Jungle,Sparrow,Gold I - 54 LP,53.8,113 / 97
Top,TheBausSpecial,Platinum IV - 44 LP,53.7,117 / 101
Top,Agent Boris,Gold I - 56 LP,53.5,108 / 94
ADC,Rikish,Platinum IV - 3 LP,53.3,114 / 100
ADC,PvM,Platinum IV - 71 LP,53.2,101 / 89
Top,Darkness,Platinum IV - 22 LP,53.0,96 / 85
Mid,Arteros,Gold I - 51 LP,53.0,106 / 94
ADC,Kudor88888882141,Platinum IV - 12 LP,52.9,118 / 105
Jungle,Neferpitou,Gold I - 80 LP,52.6,112 / 101
ADC,mind,Gold I - 74 LP,52.3,101 / 92
Jungle,EG Voutocu,Gold I - 96 LP,52.2,109 / 100
ADC,No CS,Gold I - 78 LP,52.2,107 / 98
ADC,Bait,Gold I - 68 LP,52.2,119 / 109
Top,SmackyB,Gold I - 76 LP,52.0,115 / 106
Mid,DOINB RYZE HACK,Gold I - 53 LP,52.0,103 / 95
Jungle,LIL PUMP ESKETIT,Platinum IV - 67 LP,51.8,118 / 110
Support,Xpecial,Gold I - 61 LP,51.8,102 / 95
Top,allee,Gold I - 55 LP,51.8,101 / 94
Jungle,L.Arm of Cauw,Gold I - 67 LP,51.6,82 / 77
ADC,Perkz,Platinum IV - 31 LP,51.5,120 / 113
Support,TDA Bloxx,Gold I - 79 LP,51.1,113 / 108
ADC,cryhard,Gold I - 68 LP,51.0,104 / 100
Jungle,PepeHands,Gold I - 71 LP,50.9,88 / 85
Mid,IG Wh1t3zZ,Gold I - 63 LP,50.9,117 / 113
Mid,NULL,Platinum IV - 11 LP,50.5,110 / 108
Jungle,IG Ning,Gold I - 64 LP,50.2,106 / 105
Jungle,Kasanova,Platinum IV - 21 LP,50.0,103 / 103
Mid,Bjergsen,Gold I - 92 LP,50.0,81 / 81
ADC,Krono,Gold I - 75 LP,50.0,102 / 102
Jungle,EDG Clearlove7,Platinum IV - 41 LP,49.8,109 / 110
ADC,TPOPIS,Gold I - 94 LP,49.1,104 / 108
Mid,Loosius,Gold I - 58 LP,48.7,111 / 117
Support,Rashid,Gold I - 63 LP,48.6,107 / 113
Jungle,Kazuma,Platinum IV - 19 LP,48.0,84 / 91
Jungle,TarzanFaker,Gold I - 78 LP,48.0,94 / 102
Support,d0gg0,Gold I - 99 LP,47.9,101 / 110
Top,Sioux,Gold I - 88 LP,47.4,101 / 112
Support,Rexlator,Platinum IV - 0 LP,46.9,98 / 111
