Role,Player name,Rank,Win rate(%),Wins / losses
Mid,I like trains,Platinum IV - 55 LP,53.4,133 / 116
Jungle,funnel is dead,Platinum IV - 50 LP,53.4,155 / 135
Support,GeT OutFlayed,Platinum IV - 90 LP,53.3,163 / 143
Mid,NULL,Platinum IV - 79 LP,53.1,169 / 149
Jungle,RNG mlxg,Platinum IV - 56 LP,53.1,119 / 105
Support,healslut,Platinum III - 63 LP,52.6,160 / 144
Jungle,TarzanFaker,Platinum III - 32 LP,52.6,162 / 146
ADC,No CS,Platinum IV - 54 LP,52.3,168 / 153
Top,L.Leg of Cauw,Platinum IV - 56 LP,51.8,131 / 122
Jungle,Hugan,Platinum IV - 52 LP,51.8,142 / 132
Support,225,Platinum IV - 92 LP,51.3,158 / 150
Top,Psykos,Platinum IV - 65 LP,51.3,138 / 131
Jungle,PepeHands,Platinum IV - 59 LP,51.1,139 / 133
Mid,SS Midlane! Care,Platinum IV - 54 LP,50.8,91 / 88
Top,give me life,Platinum IV - 49 LP,50.8,162 / 157
Top,Sioux,Platinum IV - 67 LP,50.3,153 / 151
ADC,Uma Jan monkaS,Platinum IV - 60 LP,50.3,150 / 148
Mid,Hjornet 7,Platinum IV - 95 LP,50.2,139 / 138
Support,Laht,Platinum IV - 56 LP,50.2,127 / 126
Mid,CatFished,Platinum IV - 92 LP,50.0,134 / 134
ADC,Klojjr,Platinum IV - 50 LP,50.0,122 / 122
Support,JANNA PLAYER :3,Platinum III - 27 LP,49.8,142 / 143
Mid,Luciana,Platinum IV - 76 LP,49.8,138 / 139
Top,Jabron,Platinum IV - 63 LP,49.8,139 / 140
Support,Reeco,Platinum IV - 56 LP,49.8,151 / 152
Support,unicornpetpetuwu,Platinum III - 49 LP,49.7,153 / 155
Mid,Zero Mechanics,Platinum IV - 62 LP,49.6,131 / 133
Mid,Choky,Platinum IV - 53 LP,49.5,164 / 167
ADC,Frosti,Platinum IV - 84 LP,49.4,155 / 159
Top,crum,Platinum IV - 61 LP,49.4,117 / 120
Jungle,Exfiltrate,Platinum IV - 89 LP,49.1,160 / 166
Jungle,Zevton,Platinum IV - 58 LP,48.9,151 / 158
Support,Duckling,Platinum III - 19 LP,48.6,135 / 143
Top,Destiny,Platinum IV - 58 LP,48.5,114 / 121
ADC,cryhard,Platinum IV - 52 LP,48.5,146 / 155
Jungle,Dr4gg4r,Platinum III - 8 LP,48.2,132 / 142
Top,Leonidas,Platinum IV - 58 LP,47.7,142 / 156
ADC,Wormy,Platinum III - 43 LP,47.3,148 / 165
ADC,Rigomi,Platinum IV - 53 LP,46.9,97 / 110
Top,circles,Platinum IV - 62 LP,46.3,138 / 160
Top,R0ck,Platinum IV - 79 LP,46.0,109 / 128
Jungle,Topener,Platinum IV - 69 LP,45.7,143 / 170
Mid,Chaos,Platinum IV - 49 LP,45.1,124 / 151
